Date,item1
2022-01-01,490.0
2022-01-02,470.0
2022-01-03,455.0
2022-01-04,457.0
2022-01-05,469.0
2022-01-06,455.0
2022-01-07,452.0
2022-01-08,448.0
2022-01-09,441.0
2022-01-10,502.0
2022-01-11,480.0
2022-01-12,411.0
2022-01-13,400.0
2022-01-14,397.0
2022-01-15,367.0
2022-01-16,370.0
2022-01-17,370.0
2022-01-18,397.0
2022-01-19,398.0
2022-01-20,435.0
2022-01-21,430.0
2022-01-22,414.0
2022-01-23,405.0
2022-01-24,406.0
2022-01-25,423.0
2022-01-26,457.0
2022-01-27,492.0
2022-01-28,483.0
2022-01-29,454.0
2022-01-30,440.0
2022-01-31,436.0
2022-02-01,480.0
2022-02-02,486.0
2022-02-03,475.0
2022-02-04,458.0
2022-02-05,449.0
2022-02-06,426.0
2022-02-07,402.0
2022-02-08,410.0
2022-02-09,360.0
2022-02-10,348.0
2022-02-11,335.0
2022-02-12,315.0
2022-02-13,308.0
2022-02-14,310.0
2022-02-15,312.0
2022-02-16,314.0
2022-02-17,316.0
2022-02-18,318.0
2022-02-19,320.0
2022-02-20,322.0
2022-02-21,324.0
2022-02-22,326.0
2022-02-23,328.0
2022-02-24,322.0
2022-02-25,373.0
2022-02-26,350.0
2022-02-27,340.0
2022-02-28,345.0
2022-03-01,357.0
2022-03-02,366.0
2022-03-03,360.0
2022-03-04,356.0
2022-03-05,353.0
2022-03-06,345.0
2022-03-07,345.0
2022-03-08,350.0
2022-03-09,354.0
2022-03-10,368.0
2022-03-11,385.0
2022-03-12,372.0
2022-03-13,376.0
2022-03-14,376.0
2022-03-15,397.0
2022-03-16,413.0
2022-03-17,421.0
2022-03-18,432.0
2022-03-19,427.0
2022-03-20,413.0
2022-03-21,425.0
2022-03-22,428.0
2022-03-23,425.0
2022-03-24,429.0
2022-03-25,438.0
2022-03-26,454.0
2022-03-27,449.0
2022-03-28,447.0
2022-03-29,441.0
2022-03-30,447.0
2022-03-31,456.0
2022-04-01,484.0
2022-04-02,478.0
2022-04-03,465.0
2022-04-04,448.0
2022-04-05,475.0
2022-04-06,472.0
2022-04-07,475.0
2022-04-08,470.0
2022-04-09,466.0
2022-04-10,466.0
2022-04-11,468.0
2022-04-12,473.0
2022-04-13,459.0
2022-04-14,458.0
2022-04-15,448.0
2022-04-16,447.0
2022-04-17,424.0
2022-04-18,406.0
2022-04-19,408.0
2022-04-20,421.0
2022-04-21,419.0
2022-04-22,418.0
2022-04-23,415.0
2022-04-24,410.0
2022-04-25,429.0
2022-04-26,431.0
2022-04-27,421.0
2022-04-28,421.0
2022-04-29,431.0
2022-04-30,427.0
2022-05-01,438.0
2022-05-02,423.0
2022-05-03,434.0
2022-05-04,439.0
2022-05-05,434.0
2022-05-06,417.0
2022-05-07,413.0
2022-05-08,404.0
2022-05-09,392.0
2022-05-10,410.0
2022-05-11,412.0
2022-05-12,413.0
2022-05-13,414.0
2022-05-14,407.0
2022-05-15,390.0
2022-05-16,410.0
2022-05-17,412.0
2022-05-18,430.0
2022-05-19,443.0
2022-05-20,443.0
2022-05-21,435.0
2022-05-22,425.0
2022-05-23,441.0
2022-05-24,439.0
2022-05-25,478.0
2022-05-26,498.0
2022-05-27,505.0
2022-05-28,494.0
2022-05-29,488.0
2022-05-30,500.0
2022-05-31,505.0
2022-06-01,541.0
2022-06-02,557.0
2022-06-03,582.0
2022-06-04,557.0
2022-06-05,540.0
2022-06-06,526.0
2022-06-07,543.0
2022-06-08,554.0
2022-06-09,550.0
2022-06-10,566.0
2022-06-11,549.0
2022-06-12,546.0
2022-06-13,557.0
2022-06-14,549.0
2022-06-15,559.0
2022-06-16,554.0
2022-06-17,567.0
2022-06-18,562.0
2022-06-19,557.0
2022-06-20,576.0
2022-06-21,574.0
2022-06-22,577.0
2022-06-23,567.0
2022-06-24,587.0
2022-06-25,592.0
2022-06-26,595.0
2022-06-27,575.0
2022-06-28,594.0
2022-06-29,607.0
2022-06-30,605.0
2022-07-01,667.0
2022-07-02,648.0
2022-07-03,629.0
2022-07-04,619.0
2022-07-05,606.0
2022-07-06,599.0
2022-07-07,595.0
2022-07-08,594.0
2022-07-09,589.0
2022-07-10,590.0
2022-07-11,589.0
2022-07-12,588.0
2022-07-13,590.0
2022-07-14,593.0
2022-07-15,606.0
2022-07-16,598.0
2022-07-17,585.0
2022-07-18,598.0
2022-07-19,592.0
2022-07-20,612.0
2022-07-21,640.0
2022-07-22,637.0
2022-07-23,630.0
2022-07-24,619.0
2022-07-25,629.0
2022-07-26,645.0
2022-07-27,699.0
2022-07-28,699.0
2022-07-29,695.0
2022-07-30,689.0
2022-07-31,668.0
2022-08-01,665.0
2022-08-02,687.0
2022-08-03,717.0
2022-08-04,700.0
2022-08-05,723.0
2022-08-06,710.0
2022-08-07,700.0
2022-08-08,689.0
2022-08-09,699.0
2022-08-10,746.0
2022-08-11,750.0
2022-08-12,773.0
2022-08-13,756.0
2022-08-14,760.0
2022-08-15,748.0
2022-08-16,794.0
2022-08-17,793.0
2022-08-18,792.0
2022-08-19,825.0
2022-08-20,813.0
2022-08-21,806.0
2022-08-22,794.0
2022-08-23,785.0
2022-08-24,792.0
2022-08-25,785.0
2022-08-26,773.0
2022-08-27,750.0
2022-08-28,696.0
2022-08-29,686.0
2022-08-30,684.0
2022-08-31,664.0
2022-09-01,663.0
2022-09-02,687.0
2022-09-03,640.0
2022-09-04,616.0
2022-09-05,604.0
2022-09-06,622.0
2022-09-07,618.0
2022-09-08,645.0
2022-09-09,642.0
2022-09-10,625.0
2022-09-11,599.0
2022-09-12,595.0
2022-09-13,587.0
2022-09-14,612.0
2022-09-15,599.0
2022-09-16,586.0
2022-09-17,585.0
2022-09-18,570.0
2022-09-19,560.0
2022-09-20,573.0
2022-09-21,583.0
2022-09-22,580.0
2022-09-23,581.0
